City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Thompson,CA,84.85,scattered clouds,55.7435,-97.8558,Burntwood Hotel
1,Corn Island,NI,82.26,overcast clouds,12.1694,-83.0418,Big Fish Guest House
2,Ishigaki,JP,84.33,scattered clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
4,Corvallis,US,88.29,clear sky,44.5646,-123.262,Hilton Garden Inn Corvallis
9,Slave Lake,CA,77.77,light rain,55.2834,-114.769,Super 8 by Wyndham Slave Lake AB
10,Albany,US,79.75,few clouds,42.6001,-73.9662,
22,Kudahuvadhoo,MV,81.55,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
24,Port Moresby,PG,78.22,haze,-9.4431,147.1797,Lamana Hotel (Port Moresby)
28,Abu Samrah,SY,76.32,clear sky,35.3029,37.1841,
30,Kapaa,US,84.18,moderate rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
32,Nabire,ID,76.93,light rain,-3.3667,135.4833,Hotel Nusantara Nabire
33,Vanimo,PG,81.1,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
34,Hilo,US,82.8,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
39,Vostok,RU,76.55,overcast clouds,46.4856,135.8833,
40,Ambunti,PG,79.57,overcast clouds,-4.2365,142.8448,Ambunti Lodge
43,Merauke,ID,79.68,overcast clouds,-8.4667,140.3333,
44,Monrovia,LR,77.11,light rain,6.3005,-10.7969,Sunset Inn
53,Maumere,ID,78.01,broken clouds,-8.6199,122.2111,Sylvia Hotel
56,Yellowknife,CA,78.3,overcast clouds,62.456,-114.3525,The Explorer Hotel
57,Fortuna,US,89.19,broken clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
58,Xixiang,CN,80.26,few clouds,35.1628,112.865,Sanmao Hotel Hotel
64,Bardiyah,LY,78.24,clear sky,31.7561,25.0865,بورتو بردية
68,Puerto Maldonado,PE,80.24,overcast clouds,-12.6,-69.1833,Wasai Hotel
70,San Andres,CO,86.02,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
71,Fare,PF,79.68,scattered clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
75,Sao Miguel Do Tapuio,BR,79.34,clear sky,-5.5036,-41.3233,Hotel Tropical
78,Atuona,PF,78.28,few clouds,-9.8,-139.0333,Villa Enata
82,Butaritari,KI,83.48,moderate rain,3.0707,172.7902,Isles Sunset Lodge
85,Wewak,PG,80.47,overcast clouds,-3.5534,143.6268,In Wewak Boutique Hotel
92,Hithadhoo,MV,82.13,overcast clouds,-0.6,73.0833,Scoop Guest House
98,Flin Flon,CA,81.93,broken clouds,54.7682,-101.865,Victoria Inn Flin Flon
102,Jamestown,US,78.12,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
104,Fort Nelson,CA,79.74,broken clouds,58.8053,-122.7002,The Fort Nelson Hotel
