City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Thompson,CA,55.7435,-97.8558,84.85,20,28,3.8,scattered clouds
1,Corn Island,NI,12.1694,-83.0418,82.26,80,87,17.9,overcast clouds
2,Ishigaki,JP,24.3448,124.1572,84.33,84,40,5.75,scattered clouds
3,Bluff,NZ,-46.6,168.3333,44.8,60,85,7.61,overcast clouds
4,Corvallis,US,44.5646,-123.262,88.29,45,1,1.01,clear sky
5,Sukhumi,GE,43.0033,41.0153,71.1,80,65,5.46,broken clouds
6,Vardo,NO,70.3705,31.1107,49.35,90,100,3.09,overcast clouds
7,Alyth,GB,56.6221,-3.2301,61.83,82,11,1.01,few clouds
8,Margate,GB,51.3813,1.3862,65.95,83,1,4.0,clear sky
9,Slave Lake,CA,55.2834,-114.769,77.77,41,74,3.6,light rain
10,Albany,US,42.6001,-73.9662,79.75,92,22,7.05,few clouds
11,Rikitea,PF,-23.1203,-134.9692,73.13,71,0,8.52,clear sky
12,Ngunguru,NZ,-35.6167,174.5,56.16,59,7,7.25,clear sky
13,Woodward,US,36.4337,-99.3904,92.43,39,1,26.46,clear sky
14,Busselton,AU,-33.65,115.3333,49.08,60,94,27.54,overcast clouds
15,Port Hawkesbury,CA,45.6169,-61.3485,68.59,76,94,5.99,overcast clouds
16,Punta Arenas,CL,-53.15,-70.9167,37.51,100,90,11.5,light intensity drizzle
17,Moindou,NC,-21.6924,165.677,67.95,59,23,8.72,few clouds
18,Alice Springs,AU,-23.7,133.8833,53.15,94,90,0.0,overcast clouds
19,Bredasdorp,ZA,-34.5322,20.0403,42.12,87,90,6.91,overcast clouds
20,Ust-Kuyga,RU,70.0167,135.6,49.93,49,14,19.66,few clouds
21,Ambo,PE,-10.1308,-76.2047,63.5,81,29,6.64,scattered clouds
22,Kudahuvadhoo,MV,2.6708,72.8944,81.55,75,84,7.36,broken clouds
23,Ushuaia,AR,-54.8,-68.3,29.86,86,75,3.44,broken clouds
24,Port Moresby,PG,-9.4431,147.1797,78.22,89,20,2.3,haze
25,Saldanha,ZA,-33.0117,17.9442,42.85,68,19,5.17,few clouds
26,Mpanda,TZ,-6.3655,31.0409,70.18,58,98,1.74,overcast clouds
27,Los Llanos De Aridane,ES,28.6585,-17.9182,69.12,86,19,17.27,few clouds
28,Abu Samrah,SY,35.3029,37.1841,76.32,65,0,9.35,clear sky
29,Chuy,UY,-33.6971,-53.4616,53.85,98,100,10.56,light rain
30,Kapaa,US,22.0752,-159.319,84.18,83,90,4.0,moderate rain
31,New Norfolk,AU,-42.7826,147.0587,49.75,90,71,1.97,light rain
32,Nabire,ID,-3.3667,135.4833,76.93,90,100,2.71,light rain
